 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 AFG, Afghanistan,1946, Aug,23.7911,
 AFG, Afghanistan,1946, Sep,19.5279,
 AFG, Afghanistan,1946, Oct,14.8621,
 AFG, Afghanistan,1946, Nov,4.23884,
 AFG, Afghanistan,1946, Dec,-1.5612,
 AFG, Afghanistan,1947, Jan,1.41309,
 AFG, Afghanistan,1947, Feb,2.95933,
 AFG, Afghanistan,1947, Mar,9.9138,
 AFG, Afghanistan,1947, Apr,14.2169,
 AFG, Afghanistan,1947, May,18.3782,
 AFG, Afghanistan,1947, Jun,22.6156,
 AFG, Afghanistan,1947, Jul,24.7334,
 AFG, Afghanistan,1947, Aug,25.1885,
 AFG, Afghanistan,1947, Sep,19.6381,
 AFG, Afghanistan,1947, Oct,13.3662,
 AFG, Afghanistan,1947, Nov,9.99531,
 AFG, Afghanistan,1947, Dec,2.5123,
 AFG, Afghanistan,1948, Jan,2.29104,
 AFG, Afghanistan,1948, Feb,3.3749,
 AFG, Afghanistan,1948, Mar,6.76657,
 AFG, Afghanistan,1948, Apr,12.9808,
 AFG, Afghanistan,1948, May,19.6999,
 AFG, Afghanistan,1948, Jun,22.7654,
 AFG, Afghanistan,1948, Jul,25.8236,
 AFG, Afghanistan,1948, Aug,23.8164,
 AFG, Afghanistan,1948, Sep,19.1619,
 AFG, Afghanistan,1948, Oct,12.8715,
 AFG, Afghanistan,1948, Nov,5.90642,
 AFG, Afghanistan,1948, Dec,0.60029,
 AFG, Afghanistan,1949, Jan,-1.867,
 AFG, Afghanistan,1949, Feb,2.07054,
 AFG, Afghanistan,1949, Mar,7.02345,
 AFG, Afghanistan,1949, Apr,13.4698,
 AFG, Afghanistan,1949, May,18.6097,
 AFG, Afghanistan,1949, Jun,21.2776,
 AFG, Afghanistan,1949, Jul,25.4737,
 AFG, Afghanistan,1949, Aug,22.9967,
 AFG, Afghanistan,1949, Sep,19.0838,
 AFG, Afghanistan,1949, Oct,10.5157,
 AFG, Afghanistan,1949, Nov,4.28205,
 AFG, Afghanistan,1949, Dec,2.17731,
 AFG, Afghanistan,1950, Jan,-1.2277,
 AFG, Afghanistan,1950, Feb,-1.0584,
 AFG, Afghanistan,1950, Mar,6.79904,
 AFG, Afghanistan,1950, Apr,10.7827,
 AFG, Afghanistan,1950, May,18.437,
 AFG, Afghanistan,1950, Jun,22.8049,
 AFG, Afghanistan,1950, Jul,25.3404,
 AFG, Afghanistan,1950, Aug,23.6132,
 AFG, Afghanistan,1950, Sep,17.716,
 AFG, Afghanistan,1950, Oct,13.1569,
 AFG, Afghanistan,1950, Nov,3.99123,
 AFG, Afghanistan,1950, Dec,-0.9169,
 AFG, Afghanistan,1951, Jan,-0.1929,
 AFG, Afghanistan,1951, Feb,-0.2676,
 AFG, Afghanistan,1951, Mar,5.92523,
 AFG, Afghanistan,1951, Apr,12.0127,
 AFG, Afghanistan,1951, May,18.1885,
 AFG, Afghanistan,1951, Jun,21.1288,
 AFG, Afghanistan,1951, Jul,24.584,
 AFG, Afghanistan,1951, Aug,23.4424,
 AFG, Afghanistan,1951, Sep,19.9296,
 AFG, Afghanistan,1951, Oct,15.3455,
 AFG, Afghanistan,1951, Nov,7.23615,
 AFG, Afghanistan,1951, Dec,4.43303,
 AFG, Afghanistan,1952, Jan,0.86158,
 AFG, Afghanistan,1952, Feb,4.60977,
 AFG, Afghanistan,1952, Mar,7.31331,
 AFG, Afghanistan,1952, Apr,14.0326,
 AFG, Afghanistan,1952, May,17.8433,
 AFG, Afghanistan,1952, Jun,23.1839,
 AFG, Afghanistan,1952, Jul,25.0373,
 AFG, Afghanistan,1952, Aug,23.4165,
 AFG, Afghanistan,1952, Sep,18.3596,
 AFG, Afghanistan,1952, Oct,12.3721,
